year,entidad,distrito,edo_dto,pp_gubernatura,PAN,PRI,PRD,PT,PVEM,MC,MORENA,f_rae,nep,volatilidad,,,
2024,bcs,1,bcs1,morena,7.09%,7.09%,7.09%,9.37%,9.37%,12.11%,9.37%,0.92,11.8,0.36,,,
2024,bcs,2,bcs2,morena,6.51%,6.51%,6.51%,7.75%,7.75%,13.69%,11.88%,0.93,13.5,0.32,,,
2024,bcs,3,bcs3,morena,6.51%,6.51%,6.51%,12.67%,12.67%,10.22%,12.67%,0.9,10.3,0.44,,,
2024,bcs,4,bcs4,morena,6.24%,6.24%,6.24%,13.10%,13.10%,9.29%,13.10%,0.9,10.1,0.44,,,
2024,bcs,5,bcs5,morena,7.66%,7.66%,7.66%,11.08%,11.08%,11.24%,11.08%,0.91,10.8,0.4,,,
2024,bcs,6,bcs6,morena,4.90%,4.90%,4.90%,14.77%,14.77%,7.67%,14.77%,0.89,9.2,0.35,,,
2024,bcs,7,bcs7,morena,2.80%,2.80%,2.80%,14.24%,14.24%,6.31%,14.24%,0.89,8.7,0.35,,,
2024,bcs,8,bcs8,morena,5.43%,5.43%,5.43%,12.59%,12.59%,7.74%,12.59%,0.91,10.9,0.37,,,
2024,bcs,9,bcs9,morena,6.03%,6.03%,6.03%,10.99%,10.99%,6.86%,10.99%,0.91,11.5,0.39,,,
2024,bcs,10,bcs10,morena,3.43%,3.43%,3.43%,12.68%,12.68%,24.75%,12.68%,0.87,7.4,0.55,,,
2024,bcs,11,bcs11,morena,7.04%,7.04%,7.04%,10.89%,10.89%,7.73%,10.89%,0.92,11.8,0.46,,,
2024,bcs,12,bcs12,morena,4.00%,4.00%,4.00%,13.42%,13.42%,4.77%,13.42%,0.89,9,0.36,,,
2024,bcs,13,bcs13,morena,7.09%,7.09%,7.09%,12.85%,12.85%,8.42%,12.85%,0.9,10.1,0.36,,,
2024,bcs,14,bcs14,morena,7.02%,7.02%,7.02%,13.70%,13.70%,4.50%,13.70%,0.9,9.6,0.4,,,
2024,bcs,15,bcs15,morena,8.14%,8.14%,8.14%,11.51%,11.51%,7.65%,11.51%,0.91,10.7,0.38,,,
2024,bcs,16,bcs16,morena,6.64%,6.64%,6.64%,9.31%,9.31%,8.25%,9.31%,0.93,14.7,0.36,,,
2018,bcs,1,bcs1,pan,28.86%,4.75%,,11.85%,5.82%,0.00%,32.52%,0.78,4.5,,,,
2018,bcs,2,bcs2,pan,24.51%,10.27%,,1.80%,7.30%,5.33%,32.77%,0.8,5,,,,
2018,bcs,3,bcs3,pan,29.17%,8.01%,,2.94%,3.71%,1.87%,42.63%,0.72,3.6,,,,
2018,bcs,4,bcs4,pan,24.78%,5.94%,,2.27%,3.65%,2.42%,49.24%,0.69,3.2,,,,
2018,bcs,5,bcs5,pan,25.66%,9.73%,,1.96%,5.79%,2.39%,40.57%,0.75,4,,,,
2018,bcs,6,bcs6,pan,20.01%,6.62%,,2.76%,18.31%,1.43%,41.44%,0.75,3.9,,,,
2018,bcs,7,bcs7,pan,18.89%,10.23%,,16.16%,6.77%,0.00%,41.35%,0.75,4,,,,
2018,bcs,8,bcs8,pan,21.33%,3.98%,,23.10%,3.88%,0.00%,37.68%,0.75,4,,,,
2018,bcs,9,bcs9,pan,19.24%,3.60%,,25.58%,4.80%,0.00%,38.99%,0.74,3.8,,,,
2018,bcs,10,bcs10,pan,27.28%,15.69%,,2.06%,1.54%,1.15%,37.76%,0.75,4,,,,
2018,bcs,11,bcs11,pan,29.30%,22.90%,,2.08%,2.04%,2.83%,34.80%,0.74,3.8,,,,
2018,bcs,12,bcs12,pan,22.71%,10.11%,,27.61%,4.47%,0.00%,29.29%,0.77,4.4,,,,
2018,bcs,13,bcs13,pan,39.26%,12.07%,,3.53%,8.77%,0.00%,18.16%,0.77,4.3,,,,
2018,bcs,14,bcs14,pan,26.83%,10.48%,,2.75%,3.02%,0.00%,36.41%,0.76,4.2,,,,
2018,bcs,15,bcs15,pan,26.56%,10.16%,,1.79%,2.82%,1.81%,34.96%,0.78,4.6,,,,
2018,bcs,16,bcs16,pan,20.96%,4.13%,,18.73%,3.88%,0.00%,35.01%,0.78,4.6,,,,
2024,cam,1,cam1,morena,2.98%,8.04%,0.49%,3.10%,3.14%,54.40%,24.38%,0.63,2.7,0.61,,,
2024,cam,2,cam2,morena,4.74%,18.93%,1.13%,5.32%,2.72%,39.84%,25.31%,0.74,3.8,0.54,,,
2024,cam,3,cam3,morena,4.07%,10.17%,0.66%,3.86%,3.64%,44.88%,28.14%,0.7,3.4,0.54,,,
2024,cam,4,cam4,morena,6.88%,18.15%,0.94%,2.88%,3.05%,37.52%,26.55%,0.75,4,0.42,,,
2024,cam,5,cam5,morena,6.72%,17.42%,0.78%,2.60%,2.92%,39.11%,26.35%,0.74,3.9,0.43,,,
2024,cam,6,cam6,morena,6.40%,11.00%,0.72%,3.70%,3.39%,43.88%,28.21%,0.71,3.4,0.58,,,
2024,cam,7,cam7,morena,8.76%,14.47%,0.47%,2.82%,2.89%,35.86%,30.04%,0.75,4,0.53,,,
2024,cam,8,cam8,morena,3.22%,2.67%,0.82%,3.94%,3.26%,25.33%,55.61%,0.62,2.6,0.72,,,
2024,cam,9,cam9,morena,10.71%,4.07%,1.86%,3.84%,3.36%,20.47%,49.84%,0.69,3.2,0.61,,,
2024,cam,10,cam10,morena,8.14%,4.90%,0.54%,3.66%,3.05%,27.34%,49.87%,0.67,3,0.64,,,
2024,cam,11,cam11,morena,2.52%,2.64%,0.49%,4.23%,3.46%,24.03%,59.84%,0.58,2.4,0.73,,,
2024,cam,12,cam12,morena,3.27%,2.26%,0.46%,4.13%,3.84%,32.18%,51.19%,0.63,2.7,0.76,,,
2024,cam,13,cam13,morena,3.38%,15.81%,1.07%,5.58%,4.23%,17.29%,34.34%,0.79,4.8,0.48,,,
2024,cam,14,cam14,morena,15.68%,1.48%,0.31%,5.15%,4.02%,30.75%,41.97%,0.7,3.3,0.77,,,
2024,cam,15,cam15,morena,6.60%,11.76%,0.69%,4.73%,3.70%,28.92%,40.88%,0.73,3.7,0.61,,,
2024,cam,16,cam16,morena,13.86%,16.93%,1.00%,4.82%,4.11%,13.83%,42.07%,0.75,4,0.43,,,
2024,cam,17,cam17,morena,4.12%,7.43%,0.37%,4.06%,4.03%,31.87%,44.90%,0.69,3.2,0.35,,,
2024,cam,18,cam18,morena,0.81%,42.69%,0.74%,2.62%,4.23%,11.21%,36.35%,0.67,3,0.44,,,
2024,cam,19,cam19,morena,1.32%,8.57%,0.30%,3.21%,2.17%,43.02%,37.77%,0.66,3,0.59,,,
2024,cam,20,cam20,morena,4.48%,8.34%,0.78%,8.18%,3.74%,25.23%,46.29%,0.7,3.4,0.7,,,
2024,cam,21,cam21,morena,3.55%,12.59%,0.42%,4.71%,4.23%,10.59%,45.11%,0.73,3.8,0.65,,,
2015,cam,1,cam1,pri,18.93%,40.08%,7.62%,1.40%,2.55%,1.91%,13.18%,0.77,4.4,,,,
2015,cam,2,cam2,pri,39.98%,31.13%,3.05%,1.07%,1.95%,1.73%,9.78%,0.73,3.7,,,,
2015,cam,3,cam3,pri,16.33%,38.94%,8.45%,2.21%,2.68%,2.02%,13.85%,0.79,4.7,,,,
2015,cam,4,cam4,pri,19.69%,37.04%,4.27%,1.47%,3.93%,1.89%,14.71%,0.79,4.8,,,,
2015,cam,5,cam5,pri,19.17%,34.44%,4.56%,2.99%,2.30%,1.76%,12.59%,0.8,5,,,,
2015,cam,6,cam6,pri,22.43%,44.00%,5.06%,1.94%,1.98%,1.46%,10.84%,0.74,3.8,,,,
2015,cam,7,cam7,pri,30.47%,38.62%,2.62%,0.98%,1.86%,2.19%,8.30%,0.74,3.9,,,,
2015,cam,8,cam8,pri,43.10%,23.06%,11.30%,2.66%,1.07%,1.01%,10.53%,0.74,3.8,,,,
2015,cam,9,cam9,pri,41.73%,29.81%,6.10%,1.34%,1.47%,1.53%,11.97%,0.72,3.5,,,,
2015,cam,10,cam10,pri,47.07%,25.25%,2.73%,2.91%,1.36%,1.45%,12.64%,0.7,3.3,,,,
2015,cam,11,cam11,pri,38.27%,34.44%,3.26%,1.27%,2.01%,1.23%,10.98%,0.72,3.6,,,,
2015,cam,12,cam12,pri,44.19%,34.26%,2.27%,0.85%,1.34%,1.01%,9.94%,0.68,3.1,,,,
2015,cam,13,cam13,pri,34.56%,33.16%,5.47%,1.51%,2.25%,4.53%,10.96%,0.75,4,,,,
2015,cam,14,cam14,pri,61.94%,31.29%,0.70%,0.71%,0.37%,1.24%,1.45%,0.52,2.1,,,,
2015,cam,15,cam15,pri,22.01%,52.31%,4.25%,2.44%,1.81%,1.61%,9.49%,0.67,3,,,,
2015,cam,16,cam16,pri,21.85%,41.85%,7.07%,2.86%,1.32%,2.06%,12.40%,0.75,4,,,,
2015,cam,17,cam17,pri,7.05%,29.94%,1.20%,0.93%,1.25%,2.73%,36.46%,0.74,3.9,,,,
2015,cam,18,cam18,pri,37.46%,44.86%,0.79%,1.52%,0.37%,0.95%,3.31%,0.65,2.9,,,,
2015,cam,19,cam19,pri,26.59%,28.65%,1.25%,0.38%,3.07%,0.74%,11.91%,0.8,4.9,,,,
2015,cam,20,cam20,pri,45.10%,35.91%,1.29%,0.41%,3.05%,0.53%,8.37%,0.66,2.9,,,,
2015,cam,21,cam21,pri,40.17%,42.64%,4.60%,1.11%,0.85%,1.41%,2.94%,0.65,2.9,,,,
2024,chia,1,chia1,morena,12.31%,7.39%,1.73%,4.58%,5.68%,17.42%,46.55%,0.73,3.7,0.19,,,
2024,chia,2,chia2,morena,12.58%,5.70%,1.36%,4.74%,15.28%,9.62%,39.74%,0.79,4.7,0.29,,,
2024,chia,3,chia3,morena,2.46%,2.57%,0.83%,16.64%,28.30%,4.47%,37.22%,0.75,4,0.2,,,
2024,chia,4,chia4,morena,3.28%,5.05%,1.80%,9.04%,47.86%,5.76%,17.33%,0.72,3.6,0.3,,,
2024,chia,5,chia5,morena,7.82%,10.65%,3.99%,12.27%,8.54%,16.12%,34.12%,0.82,5.4,0.27,,,
2024,chia,6,chia6,morena,4.05%,6.64%,1.34%,24.14%,24.13%,4.84%,23.70%,0.82,5.4,0.34,,,
2024,chia,7,chia7,morena,1.39%,2.63%,1.36%,6.64%,34.79%,3.10%,41.20%,0.7,3.3,0.15,,,
2024,chia,8,chia8,morena,1.36%,21.69%,0.97%,13.32%,15.05%,1.32%,31.43%,0.81,5.1,0.19,,,
2024,chia,9,chia9,morena,1.12%,1.70%,0.81%,11.00%,37.66%,2.70%,40.98%,0.68,3.1,0.2,,,
2024,chia,10,chia10,morena,2.66%,6.59%,0.00%,2.99%,27.42%,4.57%,52.30%,0.64,2.8,0.37,,,
2024,chia,11,chia11,morena,3.10%,10.22%,5.10%,11.11%,8.83%,2.37%,35.29%,0.82,5.6,0.12,,,
2024,chia,12,chia12,morena,2.25%,7.23%,2.37%,7.83%,9.47%,7.35%,45.36%,0.76,4.2,0.19,,,
2024,chia,13,chia13,morena,17.71%,8.96%,2.14%,4.53%,5.20%,12.90%,43.87%,0.75,3.9,0.13,,,
2024,chia,14,chia14,morena,3.02%,3.44%,1.30%,8.04%,24.53%,4.41%,39.20%,0.77,4.3,0.14,,,
2024,chia,15,chia15,morena,4.10%,4.01%,0.82%,5.51%,24.32%,4.85%,43.75%,0.74,3.8,0.1,,,
2024,chia,16,chia16,morena,2.91%,3.98%,0.96%,11.26%,26.23%,3.75%,39.68%,0.75,4.1,0.22,,,
2024,chia,17,chia17,morena,3.89%,18.71%,2.13%,11.97%,21.90%,3.10%,22.07%,0.84,6.4,0.09,,,
2024,chia,18,chia18,morena,4.54%,7.41%,0.92%,7.88%,14.79%,5.22%,37.81%,0.8,5,0.07,,,
2024,chia,19,chia19,morena,7.01%,5.56%,1.04%,3.41%,12.20%,5.72%,56.29%,0.65,2.9,0.36,,,
2024,chia,20,chia20,morena,1.33%,2.00%,0.97%,6.90%,32.06%,2.39%,48.26%,0.66,2.9,0.38,,,
2024,chia,21,chia21,morena,2.08%,5.83%,1.44%,22.42%,16.32%,3.43%,39.71%,0.76,4.1,0.36,,,
2024,chia,22,chia22,morena,0.89%,47.33%,1.10%,11.46%,4.86%,1.66%,25.46%,0.69,3.3,0.19,,,
2024,chia,23,chia23,morena,3.95%,13.34%,0.87%,5.28%,12.21%,3.98%,52.26%,0.69,3.2,0.16,,,
2024,chia,24,chia24,morena,1.13%,12.72%,0.59%,29.79%,8.15%,1.12%,42.65%,0.71,3.4,0.2,,,
2018,chia,1,chia1,pvem,6.76%,6.00%,1.03%,3.25%,3.13%,1.48%,56.50%,0.66,3,,,,
2018,chia,2,chia2,pvem,4.69%,7.63%,4.68%,4.12%,8.59%,5.84%,5.07%,0.95,20,,,,
2018,chia,3,chia3,pvem,2.80%,10.39%,4.44%,3.84%,17.09%,2.19%,40.12%,0.79,4.7,,,,
2018,chia,4,chia4,pvem,0.68%,12.51%,0.55%,2.61%,30.74%,1.65%,38.78%,0.73,3.8,,,,
2018,chia,5,chia5,pvem,3.76%,5.44%,2.74%,5.09%,8.28%,2.26%,56.64%,0.66,2.9,,,,
2018,chia,6,chia6,pvem,2.63%,18.80%,2.18%,4.88%,10.77%,2.09%,41.05%,0.77,4.4,,,,
2018,chia,7,chia7,pvem,2.01%,13.54%,1.45%,3.77%,28.28%,5.02%,33.87%,0.78,4.5,,,,
2018,chia,8,chia8,pvem,1.69%,20.18%,1.81%,3.05%,22.22%,1.36%,13.91%,0.84,6.3,,,,
2018,chia,9,chia9,pvem,2.60%,4.63%,4.20%,5.33%,16.91%,5.30%,38.51%,0.8,5,,,,
2018,chia,10,chia10,pvem,2.98%,23.23%,2.83%,4.68%,38.81%,3.01%,12.86%,0.77,4.4,,,,
2018,chia,11,chia11,pvem,4.29%,16.00%,6.60%,3.76%,13.25%,1.78%,32.00%,0.83,5.9,,,,
2018,chia,12,chia12,pvem,5.25%,13.09%,2.04%,3.96%,21.33%,2.22%,36.60%,0.79,4.8,,,,
2018,chia,13,chia13,pvem,12.59%,5.19%,2.37%,3.85%,3.92%,2.85%,47.91%,0.74,3.8,,,,
2018,chia,14,chia14,pvem,2.26%,11.83%,4.53%,4.20%,18.32%,5.96%,34.31%,0.82,5.5,,,,
